# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620617,0.0030
2,25352.4264592253,0.0070
3,18889.6258743591,0.0134
4,15553.0927238128,0.0157
5,14410.2674519349,0.0186
6,13930.0220525536,0.0238
7,13907.6027241631,0.0355
8,13674.1989767927,0.0397
9,13656.0865005966,0.0480
10,13637.7675582349,0.0564
11,13616.6326433779,0.0606
12,13611.6378957351,0.0748
13,13607.3488279461,0.0899
14,13594.6395202668,0.1189
15,13588.8938148629,0.1324
16,13584.5154671440,0.1347
17,13583.7325860410,0.1472
18,13580.9178610286,0.1590
19,13580.2207895681,0.1709
20,13579.3008034381,0.1828
21,13579.0915641653,0.1947
22,13578.1960380782,0.2049
23,13578.1576683873,0.2152
24,13578.0179573258,0.2194
25,13578.0093347776,0.2245
26,13577.9980158421,0.2275
27,13577.9922784363,0.2316
28,13577.9916502070,0.2349
29,13577.9912396120,0.2384
30,13577.9907562427,0.2525
31,13577.9904862337,0.2571
32,13577.9904420130,0.2670
33,13577.9903719738,0.2741
34,13577.9903705627,0.2783
35,13577.9903639314,0.2844
36,13577.9903528866,0.2893
37,13577.9903527021,0.2935
38,13577.9903516428,0.3056
39,13577.9903498894,0.3101
40,13577.9903498460,0.3137
